Hour(t),Lowdemand s =1,Mediumdemand s =2,Highdemand s =3
1,93.1,118.8,148.5
2,103,131.7,164.6
3,124.7,159,199.1
4,141.7,181.6,227
5,165.8,212,265
6,185.4,236.9,296.1
7,207.8,265.8,332.3
8,225.2,287.7,359.6
9,207.2,264,330.1
10,184.1,234.9,293.7
11,161.4,206.9,258.6
12,147.8,189.3,236.6
13,136.6,174.7,218.4
14,128.8,164,205
15,120.1,153.9,192.4
16,130.8,168.7,210.9
17,146.8,189.4,236.7
18,163.1,210.7,263.4
19,177.7,229.5,287
20,169,218.4,273
21,146.8,189.5,236.8
22,121.5,156.3,195.4
23,103.4,133.1,166.4
24,97.3,125.2,156.5
1,837,900,990
2,818.4,880,968
3,799.8,860,946
4,790.5,850,935
5,799.8,860,946
6,837,900,990
7,911.4,980,1078
8,967.2,1040,1144
9,1023,1100,1210
10,1004.4,1080,1188
11,985.8,1060,1166
12,967.2,1040,1144
13,950.6,1020,1122
14,930,1000,1100
15,930,1000,1100
16,950.6,1020,1122
17,1004.4,1080,1188
18,1078.8,1160,1276
19,1097.4,1180,1298
20,1078.8,1160,1276
21,1023,1100,1210
22,967.2,1040,1144
23,911.4,980,1078
24,874.2,940,1034
